name,link,tagline,likes,usedBy
html.to.design for teams,https://www.figma.com/community/plugin/1220796755370821120/html-to-design-for-teams,Convert any website into fully editable Figma designs,209,18500
Griddle,https://www.figma.com/community/plugin/1129518088088100039/griddle,Arrange any number of selected elements into a grid.,98,18400
Selection Variants,https://www.figma.com/community/plugin/1027413532986522043/selection-variants,View and control all nested variants and component properties in selection,513,18200
Really Flatten Vectors,https://www.figma.com/community/plugin/1099596352042014853/really-flatten-vectors,Figma plugin that flattens a vector into as few paths as possible.,144,18200
Figma Charts,https://www.figma.com/community/plugin/1345221583582136577/figma-charts,"Charts in Figma Simplified, Instantly Customize, Visualize, Implement Charts Directly within Figma.",113,17900
Design System Hub,https://www.figma.com/community/plugin/1324752802910575903/design-system-hub,Find any UX Design Systems from all over the world,1200,17900
figma2html,https://www.figma.com/community/plugin/1109185297790825980/figma2html,Export Figma frames as images with text elements rendered as HTML,142,17900
Text to Columns,https://www.figma.com/community/plugin/1020700094489447475/text-to-columns,Convert long form text into columns,148,17800
Logo Layout,https://www.figma.com/community/plugin/1023743344702871419/logo-layout,Optically scale and distribute logos in a grid,437,17700
Roller · Design Linter,https://www.figma.com/community/plugin/751892393146479981/roller-design-linter,Roller is the first ever Design Linter - giving you the power to automatically find and fix style inconsistencies in your files.,521,17500
Eps Importer,https://www.figma.com/community/plugin/1338586084874625225/eps-importer,Import eps files directly into Figma & FigJam,165,17500
Text Resizer - Accessibility Checker,https://www.figma.com/community/plugin/892114953056389734/text-resizer-accessibility-checker,Text Resizer helps you update your designs quickly and flexibly with respect to the base font size defined for 1remThis plugin also comes handy when you design apps for iOS as this will help your designs adapt to the systems ability of increasing or decreasing font sizes (Users on iOS have the capability to do this via settings on their phone Settings -> Accessibility -> Display & Text Size)Text Resizer is a must have plugin for every designer who cares about readability.,286,17300
Color Contrast Checker,https://www.figma.com/community/plugin/1171723816931093261/color-contrast-checker,Quickly check color contrast value,64,17200
Uizard,https://www.figma.com/community/plugin/1342400758082935751/uizard,Export to Uizard for AI-powered drag & drop editing,219,17100
Figma to Studio,https://www.figma.com/community/plugin/1274345780965443906/figma-to-studio,A free plugin to publish designs from Figma into responsive websites.,449,17100
Distortion,https://www.figma.com/community/plugin/1359229056205925721/distortion,Free Transform Images in a few clicks.,133,17000
"data.to.design - Design with your data from Google Sheets, CSV, JSON, Airtable or Notion",https://www.figma.com/community/plugin/1133729773197702197/data-to-design-design-with-your-data-from-google-sheets-csv-json-airtable-or-notion,"Design with your data from Google Sheets, CSV, JSON, Airtable, Notion, or generate using AI",770,16800
Neonize,https://www.figma.com/community/plugin/1300043926906272268/neonize,Brighten Your Creativity with Dynamic Glow Effects,85,16800
Ticket Sync,https://www.figma.com/community/plugin/1073234730618485706/ticket-sync,"Display Jira, ClickUp or Monday tickets in Figma!",234,16600
Frame Tags,https://www.figma.com/community/plugin/768262762486932527/frame-tags,See at a glance what stage designs are at.,273,16300
Delete Hidden Layers,https://www.figma.com/community/plugin/750292779381900360/delete-hidden-layers,Delete all hidden layers (also locked) at current or inside selected frame page except layers in components.,177,16300
Include—Accessibility Annotations,https://www.figma.com/community/plugin/1208180794570801545/includeaccessibility-annotations,"Create a11y annotations including landmarks, headings, alt text, reading order, contrast, and more",1100,16200
Lokalise,https://www.figma.com/community/plugin/818840482503404814/lokalise,Quickly include translated content in your designs,231,16100
AI Color Palette Generator,https://www.figma.com/community/plugin/1117264174233166391/ai-color-palette-generator,A new and quick way to explore color combinations using AI,175,16100
Sympli Handoff,https://www.figma.com/community/plugin/769264592946461883/sympli-handoff,"Design handoff, review, implementation, and collaboration",438,16000
Charts Modifier,https://www.figma.com/community/plugin/1184749025425536284/charts-modifier,Modify your charts 10x faster,166,15800
Figma2Flutter,https://www.figma.com/community/plugin/1110606481076006495/figma2flutter,Convert your Figma deigns into cross platform Flutter apps,236,15700
SVG animation,https://www.figma.com/community/plugin/1260535597868197207/svg-animation,Generating SVG animation.,113,15600
axe for Designers: A Free Accessibility Plugin,https://www.figma.com/community/plugin/1085612091163821851/axe-for-designers-a-free-accessibility-plugin,Your one-stop accessibility solution!,651,15500
Sparkliner,https://www.figma.com/community/plugin/1104468340333278614/sparkliner,Visualize your data with beautiful graphs,526,15400
Photoshop Importer,https://www.figma.com/community/plugin/1377742272477154162/photoshop-importer,Import adobe photoshop files (.psd) directly into Figma & FigJam,219,15400
Translate,https://www.figma.com/community/plugin/1083390904845336131/translate,translate,64,15300
Dora AI - Generate Websites in Figma,https://www.figma.com/community/plugin/1389868907117096838/dora-ai-generate-websites-in-figma,Turn Your Website Ideas into Figma Designs in Seconds,361,15300
DETACH THEM ALL!,https://www.figma.com/community/plugin/952189489892583044/detach-them-all,"Stop being a helicopter designer, let your components detach and be independent!",153,15200
Smartcat Translator,https://www.figma.com/community/plugin/1055486946344563829/smartcat-translator,Instantly translate your Figma pages and individual frames into any language with Smartcat!,134,15200
Ruri Lines,https://www.figma.com/community/plugin/1333908306878255000/ruri-lines,Image to Lines,640,15200
"Interactive PDF — FeatPaper (Docs, Presentations, Pitchdeck, Slides, Proposal, Portfolios, Decks)",https://www.figma.com/community/plugin/1326016838560913134/interactive-pdf-featpaper-docs-presentations-pitchdeck-slides-proposal-portfolios-decks,"Export Figma to Presentation, Pitchdeck, Slide deck, Portfolio / Links or PDF File (Compressed PDF)",344,15000
story.to.design — Import Storybook components to Figma components,https://www.figma.com/community/plugin/1075741140914731351/story-to-design-import-storybook-components-to-figma-components,Generate and sync a full Figma library from Storybook or Histoire,512,14800
Unipaste,https://www.figma.com/community/plugin/964930640501844415/unipaste,Tool for inserting symbols/characters/glyphs into your design.,326,14600
Placemark,https://www.figma.com/community/plugin/1189962635826293304/placemark,Free vector street maps,182,14300
Magic Patterns,https://www.figma.com/community/plugin/1304255855834420274/magic-patterns,Convert AI-generated designs to Figma in one-click,69,14100
"WaveCraft: Beautiful backgrounds, banners and headers",https://www.figma.com/community/plugin/1352253313088318254/wavecraft-beautiful-backgrounds-banners-and-headers,"Generate SVGs macOS Big Sur waves within Figma and create beautiful backgrounds, banners and headers",86,14100
VectorSymbols,https://www.figma.com/community/plugin/1255914175202017737/vectorsymbols,"Fast, easy and practical powerful icon production and batch export tool.",36,14000
Figma-to-Code by Plasmic,https://www.figma.com/community/plugin/845367649027913572/figma-to-code-by-plasmic,Quickly turn your Figma designs into React code for production or advanced prototyping.,258,14000
Variables manager: reorder and copy variables between files,https://www.figma.com/community/plugin/1254026844894007809/variables-manager-reorder-and-copy-variables-between-files,"Save, copy, and reorder variables across files easily",128,13900
Project Notes,https://www.figma.com/community/plugin/814117528089546244/project-notes,Keep your projects organised with ease,162,13800
Table To Figma,https://www.figma.com/community/plugin/1196444588254898329/table-to-figma,"Sync data from Notion, Google Sheets, Airtable & local files. Quickly generate tables & components.",273,13800
Export Comments,https://www.figma.com/community/plugin/930702747188058634/export-comments,"Export Comments from Figma to Excelsheet, Dashboard and Notion.",216,13700
Lazy››PDF,https://www.figma.com/community/plugin/1258350192017393097/lazypdf,Create combined PDFs from your selection,69,13700
ImgGen AI - Background Remover,https://www.figma.com/community/plugin/1351491937974180304/imggen-ai-background-remover,Remove Image background automatically with AI for free in just one click.,177,13700
UI flows for Figma,https://www.figma.com/community/plugin/1237560897507427410/ui-flows-for-figma,Easily create screen transition diagrams with text.,118,13600
Color Import / Export,https://www.figma.com/community/plugin/1143682832255826428/color-import-export,Help design and dev teams stay in sync by providing import and export tools for color palettes,155,13500
Text Styles Creator,https://www.figma.com/community/plugin/1245343260433743810/text-styles-creator,Automate text style creation and management in Figma for a smoother design workflow.,143,13500
Buzzy - No Code Native App & Website Builder,https://www.figma.com/community/plugin/980407395621457657/buzzy-no-code-native-app-website-builder,Convert your figma designs to full stack working apps - no code.,305,13500
Frontitude • UX Content Management,https://www.figma.com/community/plugin/809843676692807511/frontitude-ux-content-management,"One place for your UX content, from design to production",380,13400
Weblify Code Inspector (Beta),https://www.figma.com/community/plugin/927336249307137996/weblify-code-inspector-beta,"Inspect your Figma layers as HTML/CSS, Tailwind, React or Vue code in one click",103,13300
Mockup Magic | Elevate Your Figma Designs,https://www.figma.com/community/plugin/1353080571822508263/mockup-magic-elevate-your-figma-designs,Bring Your Designs to Life: The Ultimate Mockup Generator for Figma,67,13300
Fix San Francisco,https://www.figma.com/community/plugin/742063658553085504/fix-san-francisco,Easily apply the correct tracking based on font size for SF Pro and New York texts!,186,13200
AI Design Copilot: Text to UI Generator,https://www.figma.com/community/plugin/1362707561583059094/ai-design-copilot-text-to-ui-generator,Banani AI. Generate design wireframes filled with a copy in seconds. Use full power of GPT.,245,13100
Unit Converter & Frame Creator,https://www.figma.com/community/plugin/1252900857172369864/unit-converter-frame-creator,"Design with Confidence: Convert Units, Create Frames, and Nail the Perfect Dimensions",111,13100
Typist - animated typing text for forms and chat UI,https://www.figma.com/community/plugin/1319490058051389789/typist-animated-typing-text-for-forms-and-chat-ui,Generate animated typing components from any text layer.,207,13000
vga pptify.exe,https://www.figma.com/community/plugin/1189442575389390839/vga-pptify-exe,Figma to pixel perfect PowerPoint.,213,12800
Cube Translator,https://www.figma.com/community/plugin/1205127328344023071/cube-translator,Translate your design work into 134 languages easily,436,12800
Find & Replace Styles,https://www.figma.com/community/plugin/1160880010601657549/find-replace-styles,Find & replace any style anywhere!,131,12600
Print Prep,https://www.figma.com/community/plugin/1038893611844341613/print-prep,Perpare frames for physical printing,34,12600
Countdown Timer by Cannoli - Design and build countdown timers for your email campaigns,https://www.figma.com/community/plugin/1222609042492861689/countdown-timer-by-cannoli-design-and-build-countdown-timers-for-your-email-campaigns,Use your own designs to build countdown timers for your email campaigns.,44,12500
Text Style Generator,https://www.figma.com/community/plugin/1230334878181915391/text-style-generator,Creating text styles has never been easier!,44,12500
Maze,https://www.figma.com/community/plugin/1252632220079663180/maze,Run usability tests with Maze on your Figma prototypes,88,12300
Figma Short Link,https://www.figma.com/community/plugin/1119623265256000093/figma-short-link,A simple link shortener.,166,12300
Typographer,https://www.figma.com/community/plugin/781351612272770724/typographer,Prettify and format plain text,189,12200
i 3D · Extrude Vector / Shape / Icon / Text / Illustration to 3D Projection in Figma,https://www.figma.com/community/plugin/1387823712562916211/i-3d-extrude-vector-shape-icon-text-illustration-to-3d-projection-in-figma,"3D Projection, oblique plus, isometric, skew",209,11900
Slides,https://www.figma.com/community/plugin/1050766825375940133/slides,"Add controls (interactive, of course) to the frames so you can use them as slides.",72,11800
PDF Export with TEXT and VECTOR objects,https://www.figma.com/community/plugin/1255146474787882010/pdf-export-with-text-and-vector-objects,"Text and vector objects are retained, compresses the file size. Search engines can read the text!",109,11700
Prototyper,https://www.figma.com/community/plugin/1020894954864594118/prototyper,Create game controller and keyboard navigation prototypes in seconds,402,11700
Pixelay Compare Design to Web,https://www.figma.com/community/plugin/816424186244407164/pixelay-compare-design-to-web,Compare your Figma designs with real websites in the browser using smart overlays,314,11600
Target Flow,https://www.figma.com/community/plugin/1218870312659740254/target-flow,Connect screens effortlessly,59,11500
Atomic – Design system generator by Subframe,https://www.figma.com/community/plugin/1179657602751757459/atomic-design-system-generator-by-subframe,The easiest way to scale out a basic design system.,99,11300
AI Design by Rendition,https://www.figma.com/community/plugin/1237910033741190839/ai-design-by-rendition,Rendition is an AI tool for creating designs and building responsive UI components with tailwind,20,11300
CraftAI - Resume/Portfolio Writer,https://www.figma.com/community/plugin/1184989728266265232/craftai-resume-portfolio-writer,Write a better designer resume and portfolio.,206,11200
Tour Guide,https://www.figma.com/community/plugin/1012194842754462625/tour-guide,Tour the canvas with ease,91,11200
Background Removal (100% free),https://www.figma.com/community/plugin/1339266068267135121/background-removal-100-free,Remove any background from an image,72,11200
Chat2Design - Speak in Text -> See in Design,https://www.figma.com/community/plugin/1278764073399815199/chat2design-speak-in-text-see-in-design,"Generate wireframes, UI elements or images using AI",120,11100
WordArt,https://www.figma.com/community/plugin/1226951433388984435/wordart,Create Windows XP WordArt style 3D text in Figma,71,11000
Skew To Figma,https://www.figma.com/community/plugin/1314599573129418692/skew-to-figma,"Add free dynamism to your design with accurate, easy-to-use tilts!",95,10900
Weavely · Figma to Web Forms,https://www.figma.com/community/plugin/1255122665773297640/weavely-figma-to-web-forms,Design & Publish Forms in Figma,174,10900
Find colors and Replace,https://www.figma.com/community/plugin/1224707006498783454/find-colors-and-replace,Quickly finding and updating colors across your entire project hassle-free 🎨✨,78,10600
Split text,https://www.figma.com/community/plugin/1073792242622951986/split-text,Split text,46,10600
Figma To WordPress Block,https://www.figma.com/community/plugin/1259821200791182652/figma-to-wordpress-block,Easily copy and paste from Figma to WordPress editor,137,10500
Color Contrast Checker,https://www.figma.com/community/plugin/1218666737106149812/color-contrast-checker,Ensure Accessibility with Ease,101,10500
Gradient Map,https://www.figma.com/community/plugin/1280452653001223747/gradient-map,Photoshop like color gradient map directly in figma,291,10500
Easy Translator,https://www.figma.com/community/plugin/1138160794213047497/easy-translator,Translate your designs and Jam session content into over 100 languages,43,10300
LottieToGIF,https://www.figma.com/community/plugin/1258824041839334666/lottietogif,Seamlessly convert your Lottie animations to GIFs without interrupting your workflow.,33,10300
Variant Organiser,https://www.figma.com/community/plugin/1047796251364453654/variant-organiser,Automatically arrange variants in a grid and create property labels,384,10200
Redlines & Annotations,https://www.figma.com/community/plugin/1228826129267290034/redlines-annotations,Create Redlines & Annotations in clicks,182,10200
NFT Generator,https://www.figma.com/community/plugin/1052280914006102970/nft-generator,"Generate 10,000 NFTs with a click of a button",513,10100
Frame Renamer,https://www.figma.com/community/plugin/1218557653669496067/frame-renamer,"This plugin renames frames based on a specified text layer, offering all/selected frame options.",57,10100
Fractal Glass Effect,https://www.figma.com/community/plugin/1365163591489620503/fractal-glass-effect,Add stunning fractal glass effect to your images in a single click.,679,10100
Distort edges,https://www.figma.com/community/plugin/1297302049813714191/distort-edges,Distort and roughen shape edges,75,10100
(Easy)Grid - Easy Grids and Shapes,https://www.figma.com/community/plugin/1023805574372075411/easygrid-easy-grids-and-shapes,"Easy generator for layouts, grids, and shapes",98,10000
Figma To Elementor,https://www.figma.com/community/plugin/1289146550601337525/figma-to-elementor,Figma plugin to easily convert figma design into Elementor widgets,154,10000
Conversis Translation XML Text Export & Import,https://www.figma.com/community/plugin/965300293958451734/conversis-translation-xml-text-export-import,Translation XML file export and import with connectors to Crowdin & memoQ,41,10000
Simple ChatGPT Plugin,https://www.figma.com/community/plugin/1239848297860271390/simple-chatgpt-plugin,Ask ChatGPT to generate any text directly in Figma,64,9900
Offset Resizer,https://www.figma.com/community/plugin/1014823942756498831/offset-resizer,"Offset frames, components and component sets by a uniform distance from their contents.",250,9900
"Skew It, Let's Do It",https://www.figma.com/community/plugin/1294267612065559701/skew-it-lets-do-it,"Skew any element, or group of elements, horizontally or vertically",56,9800
Typography Style Guide Generator,https://www.figma.com/community/plugin/1209900339618349575/typography-style-guide-generator,Automatically generate text style guides based on your defined local text styles.,174,9800
Automater,https://www.figma.com/community/plugin/950514102619019349/automater,A bunch of commands collected into a plugin.,663,9800
Guideliner,https://www.figma.com/community/plugin/1060920071257624917/guideliner,Guideliner creates composition guidelines to help you design a great layout,314,9700
Make Filled,https://www.figma.com/community/plugin/1130056585691217551/make-filled,Fill shapes and include the original outline,89,9700
NB Vector Map,https://www.figma.com/community/plugin/1276372655585538432/nb-vector-map,Verctor Maps,93,9700
Commentor,https://www.figma.com/community/plugin/766336259561453389/commentor,Write the comments and explanations to your design in the Figma,79,9700
MapMaker,https://www.figma.com/community/plugin/1349097926934489886/mapmaker,Simple map maker for your figma projects,37,9600
Language Tester,https://www.figma.com/community/plugin/767379122107077581/language-tester,Test your UI in different languages.,156,9600
Figgy exporter,https://www.figma.com/community/plugin/778302475291888898/figgy-exporter,Simple export automation for common format sizes,57,9600
"Content Export (Excel, CSV, JSON or Clipboard)",https://www.figma.com/community/plugin/1180288946798922772/content-export-excel-csv-json-or-clipboard,"Export the text layers in the form of an Excel, CSV, JSON document or Copy to Clipboard",115,9500
Grammarly,https://www.figma.com/community/plugin/1334904059266350853/grammarly,Your trusted AI writing partner for teams.,295,9500
Icon Scaling Tool,https://www.figma.com/community/plugin/875501505522624941/icon-scaling-tool,Creating multiple sizes of icons is easy with the Microsoft Design Icon Scaling tool,449,9500
InVision,https://www.figma.com/community/plugin/1159858758766370042/invision,Sync your figma files to InVision,71,9400
Cloner,https://www.figma.com/community/plugin/1187818729833285362/cloner,Create generative art just like that,390,9400
Dark Me,https://www.figma.com/community/plugin/1210863977149285175/dark-me,Create a dark theme for your UI in just a matter of a click. Fine tune with HSL filters,135,9300
Sort on Canvas by Name,https://www.figma.com/community/plugin/923916009300611791/sort-on-canvas-by-name,Changes positions of objects on canvas and in layers panel by name,165,9300
Search & Focus,https://www.figma.com/community/plugin/838752837372119505/search-focus,Focusing on your search result,74,9300
Origami Pasteboard,https://www.figma.com/community/plugin/832268423801619787/origami-pasteboard,Copy layers from Figma to Origami Studio,303,9300
Progressive Blur,https://www.figma.com/community/plugin/1356736586164762457/progressive-blur,Progressive Blur using Rectangles and Auto Layout,238,9200
Website to Figma: Import Website Design and HTML Pages to Figma,https://www.figma.com/community/plugin/1371170194621293762/website-to-figma-import-website-design-and-html-pages-to-figma,Website to Figma Design,91,9100
Label Maker,https://www.figma.com/community/plugin/837733390949354788/label-maker,Create labels permanently linked with your layers' names,115,8900
Design System Generator,https://www.figma.com/community/plugin/1344368111040867237/design-system-generator,"Single Click Design System-Ready Colors, Button Components and React Code at Your FIngertips!",153,9000
Phrase Strings,https://www.figma.com/community/plugin/803669834214399971/phrase-strings,Sync designs to Phrase Strings for localization,154,8900
Select all instances,https://www.figma.com/community/plugin/893141488737748075/select-all-instances,Swiss army knife for component instance inspection and selection.,68,8800
Fable,https://www.figma.com/community/plugin/1093136289410156578/fable,Pro-grade animation for your Figma designs,326,8700
Accessibility Simulator (Test compliance with WCAG AA 2.1 guidelines),https://www.figma.com/community/plugin/1233259660804909851/accessibility-simulator-test-compliance-with-wcag-aa-2-1-guidelines,Improve your design's accessibility by simulating visual impairments and ensuring WCAG compliance.,87,8700
image.to.design (alpha),https://www.figma.com/community/plugin/1369333609675850454/image-to-design-alpha,Converts any images into fully editable Figma designs.,92,8700
Fonts Studio,https://www.figma.com/community/plugin/1321082150993038377/fonts-studio,"Font Management, Font Pairs and Typography",143,8600
Sketch Pencil,https://www.figma.com/community/plugin/1288527541686603383/sketch-pencil,Craft Hand-Drawn Wireframes with Figma SketchPencil,60,8600
Waveform,https://www.figma.com/community/plugin/1248867790823558657/waveform,A plugin to generate randomized waveforms for prototypes,79,8600
Reflect,https://www.figma.com/community/plugin/1292028417187154365/reflect,Effortlessly Craft Perfect Reflections in Figma,195,8600
Screenshot to Layout,https://www.figma.com/community/plugin/1307079868274782972/screenshot-to-layout,A Figma plugin to never retype text from a screenshot again,76,8500
Export2Eps,https://www.figma.com/community/plugin/1088052957367337083/export2eps,export svg to eps,27,8500
Fit Curve,https://www.figma.com/community/plugin/1317809341215111097/fit-curve,Fit Curve helps to create curves with a smooth curvature in Figma,96,8500
typeff,https://www.figma.com/community/plugin/1258805651488403681/typeff,typeff enables users to automatically create typing effect animation.,56,8400
Perfecter,https://www.figma.com/community/plugin/1049796958452198728/perfecter,Perfect your design ratios with math magic,363,8400
Figma Chinese Rename,https://www.figma.com/community/plugin/817636639982340201/figma-chinese-rename,Translate layers' name from Chinese to English 一键翻译图层名为英文,259,8300
Remove Auto Layout Faster,https://www.figma.com/community/plugin/911626989157564204/remove-auto-layout-faster,Remove any instance of Auto Layout found in the selected frames and all their children frames,101,8200
Demo Station,https://www.figma.com/community/plugin/1033284895522313541/demo-station,Get a clickable prototype locally or in cloud,111,8200
GPT - TextAI,https://www.figma.com/community/plugin/1245996028654654306/gpt-textai,The ultimate UX copy generator based on GPT.,82,8200
Easy Watermark,https://www.figma.com/community/plugin/1277691554186937065/easy-watermark,Easily add a watermark to your project with the Easy Watermark plugin,62,8200
HyperCrop Batch Image Resizer,https://www.figma.com/community/plugin/818960915730257192/hypercrop-batch-image-resizer,The fastest way to batch crop/resize multiple images to multiple sizes from Figma,110,8200
Renamer,https://www.figma.com/community/plugin/1185219382747213717/renamer,Assigns random names to all layers,16,8100
Utopia / Batch update text styles,https://www.figma.com/community/plugin/979005485047252094/utopia-batch-update-text-styles,Update multiple text styles in one go,85,8100
Aidentic,https://www.figma.com/community/plugin/1211350977972932047/aidentic,Improve User Experience with AI,196,8100
The good line-height,https://www.figma.com/community/plugin/899947649686629470/the-good-line-height,Find the perfect line-height for any text and grid combination.,274,8100
Darken Pages,https://www.figma.com/community/plugin/1106710311855118659/darken-pages,Darken or lighten Figma pages in one click,56,8000
Material UI Sync,https://www.figma.com/community/plugin/1336346114713490235/material-ui-sync,The official theme generator for the Material UI Design Kit,105,8000
Numerator,https://www.figma.com/community/plugin/765276421612114640/numerator,Easy way to numerate frames and pages (works in Figma Slides),107,8000
notely ✍️ | Sticky Notes,https://www.figma.com/community/plugin/1329084856945618527/notely-sticky-notes,"Sticky Note Creation, Management & Sync Between Plugin and Figma Documents",47,8000
Find component,https://www.figma.com/community/plugin/1140634574678046307/find-component,find component,54,7900
Generista,https://www.figma.com/community/plugin/1381023331156965890/generista,Creates generative graphics with a few clicks,1000,7900
Awesome Icon Label Writer,https://www.figma.com/community/plugin/1103997525630191469/awesome-icon-label-writer,This Figma plugin renames text nodes consisting of one Font Awesome icon to the icon name.,28,7800
Millimeters,https://www.figma.com/community/plugin/1303033027211465630/millimeters,Metric unit inspector for Figma,86,7800
Desi Ipsum,https://www.figma.com/community/plugin/1047585682551481419/desi-ipsum,Generate random text in Indian languages,41,7800
Lock Aspect Ratio,https://www.figma.com/community/plugin/1234709595094737890/lock-aspect-ratio,Select any size element and lock its aspect ratio or update and lock to a ratio preset.,218,7800
Wavy Lines,https://www.figma.com/community/plugin/1357290676103745205/wavy-lines,"Straight lines are just too mainstream, Dive into the wavy wonderland!",82,7800
"Displace – pattern glass, noise and glitch effects",https://www.figma.com/community/plugin/1415463691038193181/displace-pattern-glass-noise-and-glitch-effects,Dynamic displacement effects for standout visuals,745,7700
Contrast Grid,https://www.figma.com/community/plugin/993414361395505148/contrast-grid,Check contrast multiple foreground and background color combos for a11y.,223,7700
Hide Frame Names,https://www.figma.com/community/plugin/1252320728191100599/hide-frame-names,Hide frame names effortlessly. Simplify your workflow.,43,7700
Image Resizer Plugin,https://www.figma.com/community/plugin/1218937991051926218/image-resizer-plugin,"Swiftly resize images, export them in high-quality formats and automate mockup workflows.",42,7700
Converter,https://www.figma.com/community/plugin/1142508362916261461/converter,Brings metric system to Figma,119,7700
Randomiser,https://www.figma.com/community/plugin/1189284785668093844/randomiser,Add some random and unique flair to your designs,65,7600
Golden Ratio Grid,https://www.figma.com/community/plugin/1182047151469830150/golden-ratio-grid,"Create multiple Golden Ratio Grids across your designs, at the click of a button",86,7600
Pictographic: Free illustrations (Vector and PNG format),https://www.figma.com/community/plugin/1379710174937620830/pictographic-free-illustrations-vector-and-png-format,"80,000+ free illustrations over 10 styles",139,7600
Pwireframe,https://www.figma.com/community/plugin/1226170501704996152/pwireframe,a fast and easy wireframing tool,16,7600
Copypasta - paste in place,https://www.figma.com/community/plugin/858058624022776906/copypasta-paste-in-place,Copy a selection of layers and paste in-place in multiple frames (while respecting layer index).,81,7500
No Numbers,https://www.figma.com/community/plugin/1017928273649269221/no-numbers,Get rid of numbers in layer names. Frame 1607 is just a Frame,156,7500
Create Links,https://www.figma.com/community/plugin/1151172748294992802/create-links,"create link, go to frame, index, link, link generator, project navigation",44,7400
random number generator,https://www.figma.com/community/plugin/1009688420146523321/random-number-generator,"Select text layers and replace them with randomly generated numbers, lightning fast.",45,7400
Rain Drop Effect,https://www.figma.com/community/plugin/1345983794622866550/rain-drop-effect,Turn your design into rain drop effect,205,7400
Business Cards Generator,https://www.figma.com/community/plugin/1177662273596027878/business-cards-generator,Use CSV to generate Business Cards!,69,7400
Real Forms,https://www.figma.com/community/plugin/1333869844431905629/real-forms,Create working form inputs and prototypes,29,7300
Better Color Picker,https://www.figma.com/community/plugin/1209779625070339366/better-color-picker,"It's a color picker, just a bit better.",15,7200
Shape Builder Tool,https://www.figma.com/community/plugin/1314578650867989383/shape-builder-tool,A shape builder tool that enhances your Boolean operations for creating shapes in Figma.,169,7200
Rotate replicas,https://www.figma.com/community/plugin/1046408980285879143/rotate-replicas,Create and manipulate radial patterns directly on figma canvas,47,7200
Label Frames,https://www.figma.com/community/plugin/836752724085001294/label-frames,Label your frames!,65,7200
Blazy,https://www.figma.com/community/plugin/1278086746813211814/blazy,Ultimate Figma plugin to animate your prototype in one click,89,7100
한글더미,https://www.figma.com/community/plugin/1243208578746510514,한글로 된 더미 데이터를 가지고 디자인 샘플을 쉽고 빠르게 제작해 보세요.,189,7100
"Export & Resize Images (JPEG, PNG, WebP and TTIF)",https://www.figma.com/community/plugin/1370731988423238311/export-resize-images-jpeg-png-webp-and-ttif,"Multi-format export, print prep, DPI, CMYK, quality, compression, alpha channel, and lossless..",48,7100
Quick Hues,https://www.figma.com/community/plugin/1263499522548831546/quick-hues,quickly change hues (快速修改色相),251,7100
Regressor - Auto Instance Creator,https://www.figma.com/community/plugin/1213220990852681773/regressor-auto-instance-creator,Create all Instance Combinations from Component Variants & Booleans,310,7000
透视变换 Perspective Transform,https://www.figma.com/community/plugin/1399768474461238446/perspective-transform,Apply perspective transformations to text and rectangles,74,7000
fromCSS,https://www.figma.com/community/plugin/807925991544813159/fromcss,"Write, paste, and apply CSS",68,7000
Excalidraw to Figma,https://www.figma.com/community/plugin/1334180938385591710/excalidraw-to-figma,Virtual whiteboard for sketching hand-drawn like diagrams,131,7000
Gist,https://www.figma.com/community/plugin/1073059820691713754/gist,"Attach documentation to components. Write your own or link to an iFrame, JSONBin, or Github",371,6900
imgcook,https://www.figma.com/community/plugin/951438743886938495/imgcook,A intelligent tool that converts design to code.,114,6900
PowerPoint Importer,https://www.figma.com/community/plugin/1395464987153633003/powerpoint-importer,"Import PowerPoint files directly into Figma, FigJam and Figma Slides.",110,6900
Codejet.ai - AI Figma to Code Generation,https://www.figma.com/community/plugin/1276157706852546687/codejet-ai-ai-figma-to-code-generation,Convert auto layout frames in Figma to code that you can edit in Visual Editor or export,44,6900
Radial Generator BETA,https://www.figma.com/community/plugin/1118321937703348544/radial-generator-beta,Design radial menus with Unreal Engine friendly parameters,101,6900
Crowdin for Figma,https://www.figma.com/community/plugin/802555101361690489/crowdin-for-figma,Localize UI and translate marketing visuals efficiently with Crowdin plugin for Figma,132,6800
sprouts.design: AI inspiration & prototypes,https://www.figma.com/community/plugin/1225838911769955229/sprouts-design-ai-inspiration-prototypes,A little AI-powered plugin to inspire you and easily sprout new prototypes in Figma,93,6800
Apply variables,https://www.figma.com/community/plugin/1264259625007726988/apply-variables,Automatically convert applied styles or untokenized properties to variables of a remote collection.,226,6800
Interactive Input Fields,https://www.figma.com/community/plugin/1395018656670641049/interactive-input-fields,Easily create highly interactive & custom input fields for your prototypes – directly in Figma.,410,6700
vga glitchcore.exe,https://www.figma.com/community/plugin/1266804580677811786/vga-glitchcore-exe,Embrace the unpredictable.,126,6700
Generator,https://www.figma.com/community/plugin/899028246731755335/generator,Geometry nodes for Figma,474,6700
Visual Contrast: Everything clearly with APCA,https://www.figma.com/community/plugin/1090308131937420683/visual-contrast-everything-clearly-with-apca,With the APCA color contrast algorithm in WCAG 3.,162,6700
Hues & Gradients,https://www.figma.com/community/plugin/1361736324008749685/hues-gradients,Generate millions of harmonic Color palette and Gradients,273,6700
Colormate,https://www.figma.com/community/plugin/1342570927018071414/colormate,Color Search Engine & Tools for Figma,187,6600
