name,link,tagline,likes,usedBy
Export to GIF/Video,https://www.figma.com/community/plugin/1170836206919391034/export-to-gif-video,Export GIF or Video in one-click,2000,192000
NB Charts,https://www.figma.com/community/plugin/892787217901293479/nb-charts,Create Chart,1200,191000
uiGradients,https://www.figma.com/community/plugin/744909029427810418/uigradients,"Adds gradients to groups, text and frames in single click.",2100,185000
Perspective Toolkit,https://www.figma.com/community/plugin/862059663689780943/perspective-toolkit,Put everything in perspective usingthree unique approaches,1900,165000
Styler,https://www.figma.com/community/plugin/820660579767995949/styler,Bulk management of styles based on layer properties.,2300,163000
SPELLL - Spelling & Grammar Checking for Figma & FigJam,https://www.figma.com/community/plugin/754026612866636376/spelll-spelling-grammar-checking-for-figma-figjam,Spelling & Grammar Checking for Figma & FigJam,1200,162000
Rename It,https://www.figma.com/community/plugin/731271836271143349/rename-it,"Keep your Figma files organized, batch rename layers and frames.",2400,160000
Rotato 3D Mockups + Explosions,https://www.figma.com/community/plugin/1009741687635558607/rotato-3d-mockups-explosions,"Wrap any Figma frame in a 4K ultra-realistic 3D mockup device frames for the perfect showcase in your slide decks, landing pages and portfolio.",1000,155000
Insert Big Image,https://www.figma.com/community/plugin/799646392992487942/insert-big-image,Insert and retain the original resolution of big images,2200,154000
Figmap - Map maker,https://www.figma.com/community/plugin/937760472566581732/figmap-map-maker,Fully customisable styled maps and markers,755,154000
ProtoPie,https://www.figma.com/community/plugin/908870217222043020/protopie,"High-fidelity prototyping for Figma. Import Figma designs and add dynamic, conditional interactions.",2200,152000
"Print for Figma | CMYK, Bleed, Crop Marks, DPI",https://www.figma.com/community/plugin/874441781480244375/print-for-figma-cmyk-bleed-crop-marks-dpi,"Create Ready-to-Print Documents in Figma - CMYK, Bleed, Crop Marks, DPI, and more ...",1900,150000
Design System Organizer,https://www.figma.com/community/plugin/802579985985331070/design-system-organizer,"Copy styles & variables between files. Swap libraries for Variables, Styles & Components. All in one",2600,145000
Photoroom - AI and Background Remover,https://www.figma.com/community/plugin/1126882239732656005/photoroom-ai-and-background-remover,Remove backgrounds accurately and generate AI backgrounds instantly.,593,143000
Magic Cut - remove background,https://www.figma.com/community/plugin/1152213593988029652/magic-cut-remove-background,A tool for easy background removal,436,133000
